ques,options,ans
People fly in them.,,airplanes
"Keven Costner, Brad Pitt and Sean Connery are all ___",,actors
When you grow up you are ___,,an adult
A country that has many kangaroos is ___,,Australia
A machine which keeps you cool in summer is ___,,an air conditioner
It wakes you up in the morning. It's ___,,an alarm clock
The opposite of dead is ___,,alive
Somewhere to stub your cigar out in is called ___,,an ashtray
"A word that means ""good looking or pretty"" ___",,attractive
A person who goes to the moon or into outer space is called ___,,an astronaut
